title,url,raw_price,location
Prodej bytu 1+kk 26 m²,https://reality.idnes.cz/detail/prodej/byt/praha-1-skolska/698fa5e671565e61e40640c4/,6 863 500 Kč,"Školská, Praha 1 - Nové Město"
Prodej bytu 2+kk 45 m²,https://reality.idnes.cz/detail/prodej/byt/praha-1-skolska/698fa423740e8ecf430e30ae/,11 898 500 Kč,"Školská, Praha 1 - Nové Město"
Prodej bytu 1+kk 32 m²,https://reality.idnes.cz/detail/prodej/byt/praha-7-delnicka/698fa2adef168b1fef010686/,7 275 150 Kč,"Dělnická, Praha 7 - Holešovice"
Prodej bytu 2+kk 35 m²,https://reality.idnes.cz/detail/prodej/byt/praha-7-delnicka/698f9a9d5b3323fa070c85bc/,8 468 550 Kč,"Dělnická, Praha 7 - Holešovice"
Prodej bytu 2+kk 90 m²,https://reality.idnes.cz/detail/prodej/byt/plzen-waltrova/69835bae5d03dc5030023636/,6 990 000 Kč,"Waltrova, Plzeň - Skvrňany"
Prodej bytu 2+1 50 m²,https://reality.idnes.cz/detail/prodej/byt/praha-3-borivojova/6983272e4c7f8eea85058537/,9 490 000 Kč,"Bořivojova, Praha 3 - Žižkov"
Prodej bytu 2+kk 58 m²,https://reality.idnes.cz/detail/prodej/byt/zlin/698f94e9361f853cce0ec481/,Cena na vyžádání,Zlín
Prodej bytu 2+1 57 m²,https://reality.idnes.cz/detail/prodej/byt/mlada-boleslav-sadova/698f92026ba8b3ab480185d6/,4 905 000 Kč,"Sadová, Mladá Boleslav - Mladá Boleslav II"
Prodej bytu 3+1 66 m²,https://reality.idnes.cz/detail/prodej/byt/olomouc-stiborova/698f90d8d6349aef2a09ec96/,5 800 000 Kč,"Stiborova, Olomouc - Neředín"
Prodej bytu 1+kk 34 m²,https://reality.idnes.cz/detail/prodej/byt/mlada-boleslav/696a42c188740c856d0b8fa8/,4 550 829 Kč,Mladá Boleslav - Michalovice
